Time,vRoot
1.0,0.092852
2.0,0.091135
3.0,0.034908
4.0,0.033955
5.0,0.10804
6.0,0.067522
7.0,0.049362
8.0,0.02684
9.0,0.01
10.0,0.050371
11.0,0.073824
12.0,0.055433
13.0,0.11289
14.0,0.15382
15.0,0.049948
16.0,0.038036
17.0,0.03746
18.0,0.048344
19.0,0.065522
20.0,0.096945
21.0,0.069998
22.0,0.05
23.0,0.070333
24.0,0.0444
25.0,0.07313
26.0,0.062852
27.0,0.11517
28.0,0.13166
29.0,0.17757
30.0,0.1333
31.0,0.097544
32.0,0.02
33.0,0.01
34.0,0.062819
35.0,0.1607
36.0,0.073439
37.0,0.15967
38.0,0.02
39.0,0.01
40.0,0.073439
41.0,0.24146
42.0,0.1714
43.0,0.16661
44.0,0.27385
45.0,0.14203
46.0,0.18109
47.0,0.34087
48.0,0.25949
49.0,0.23925
50.0,0.40193
51.0,0.20129
52.0,0.31496
53.0,0.25578
54.0,0.059062
55.0,0.035152
56.0,0.035976
57.0,0.11444
58.0,0.1433
59.0,0.089878
60.0,0.14051
61.0,0.13387
62.0,0.25036
63.0,0.13991
64.0,0.29496
65.0,0.34998
66.0,0.52041
67.0,0.48658
68.0,0.21112
69.0,0.28431
70.0,0.27956
71.0,0.52847
72.0,0.22669
73.0,0.24489
74.0,0.39317
75.0,0.29333
76.0,0.35069
77.0,0.34921
78.0,0.26115
79.0,0.16942
80.0,0.23734
81.0,0.54265
82.0,0.37621
83.0,0.072682
84.0,0.2197
85.0,0.35474
86.0,0.082244
87.0,0.26777
88.0,0.48792
89.0,0.40543
90.0,0.32098
91.0,0.22873
92.0,0.20912
93.0,0.40219
94.0,0.66699
95.0,0.35167
96.0,0.5188
97.0,0.47214
98.0,0.42668
99.0,0.35927
100.0,0.46981
101.0,0.34451
102.0,0.34229
103.0,0.57769
104.0,0.63171
105.0,0.62833
106.0,0.64931
107.0,0.39996
108.0,0.18707
109.0,0.11506
110.0,0.28
111.0,0.2114
112.0,0.4063
113.0,0.40577
114.0,0.69755
115.0,0.44742
116.0,0.45133
117.0,0.35583
118.0,0.19573
119.0,0.21896
120.0,0.21114
121.0,0.080031
122.0,0.14948
123.0,0.31814
124.0,0.44874
125.0,0.4899
126.0,0.54868
127.0,0.68441
128.0,0.46096
129.0,0.55864
130.0,0.36969
131.0,0.46232
132.0,0.42787
133.0,0.50008
134.0,0.40272
135.0,0.41041
136.0,0.4081
137.0,0.14485
138.0,0.39632
139.0,0.44101
140.0,0.43472
141.0,0.3318
142.0,0.49187
143.0,0.62304
144.0,0.41932
145.0,0.53763
146.0,0.47072
147.0,0.5
148.0,0.46147
149.0,0.38085
150.0,0.55989
151.0,0.6545
152.0,0.49839
153.0,0.59462
154.0,0.68891
155.0,0.68014
156.0,0.66018
157.0,0.70426
158.0,0.64217
159.0,0.56744
160.0,0.79263
161.0,0.83295
162.0,0.81573
163.0,0.78232
164.0,0.77193
165.0,0.56474
166.0,0.60882
167.0,0.7316
168.0,0.77114
169.0,0.67109
170.0,0.54695
171.0,0.72951
172.0,0.5382
173.0,0.72393
174.0,0.66715
175.0,0.58504
176.0,0.73534
177.0,0.55036
178.0,0.68574
179.0,0.57725
180.0,0.62515
181.0,0.59648
182.0,0.52286
183.0,0.43573
184.0,0.12309
185.0,0.26308
186.0,0.46985
187.0,0.54204
188.0,0.537
189.0,0.46975
190.0,0.56429
191.0,0.61984
192.0,0.70277
193.0,0.58572
194.0,0.62108
195.0,0.55573
196.0,0.56577
197.0,0.33609
198.0,0.56613
199.0,0.48108
200.0,0.54383
201.0,0.6494
202.0,0.75468
203.0,0.73567
204.0,0.67231
205.0,0.7506
206.0,0.54612
207.0,0.6054
208.0,0.66836
209.0,0.52281
210.0,0.57993
211.0,0.45881
212.0,0.48
213.0,0.42228
214.0,0.49367
215.0,0.45703
216.0,0.55895
217.0,0.52893
218.0,0.43
219.0,0.26172
220.0,0.37543
221.0,0.44255
222.0,0.58
223.0,0.68917
224.0,0.51719
225.0,0.42733
226.0,0.50853
227.0,0.50103
228.0,0.52112
229.0,0.47064
230.0,0.5
231.0,0.76833
232.0,0.32867
233.0,0.50676
234.0,0.55904
235.0,0.77442
236.0,0.54523
237.0,0.434
238.0,0.43673
239.0,0.36972
240.0,0.49767
241.0,0.59094
242.0,0.42437
243.0,0.29979
244.0,0.43337
245.0,0.47477
246.0,0.48204
247.0,0.37884
248.0,0.45229
249.0,0.60977
250.0,0.41366
251.0,0.35557
252.0,0.42999
253.0,0.18924
254.0,0.45549
255.0,0.61102
256.0,0.44341
257.0,0.16699
258.0,0.2134
259.0,0.35668
260.0,0.32778
261.0,0.45791
262.0,0.49099
263.0,0.38521
264.0,0.56563
265.0,0.44434
266.0,0.33451
267.0,0.58143
268.0,0.18086
269.0,0.41286
270.0,0.4734
271.0,0.47005
272.0,0.32238
273.0,0.28
274.0,0.33001
275.0,0.28695
276.0,0.35328
277.0,0.50203
278.0,0.095152
279.0,0.29984
280.0,0.12487
281.0,0.28609
282.0,0.41725
283.0,0.40125
284.0,0.29875
285.0,0.12144
286.0,0.16348
287.0,0.28533
288.0,0.28844
289.0,0.26745
290.0,0.2134
291.0,0.23873
292.0,0.30001
293.0,0.2003
294.0,0.14
295.0,0.33096
296.0,0.3561
297.0,0.32783
298.0,0.23415
299.0,0.2756
300.0,0.18766
301.0,0.43476
302.0,0.39849
303.0,0.19454
304.0,0.16805
305.0,0.29913
306.0,0.32769
307.0,0.2549
308.0,0.26933
309.0,0.33038
310.0,0.32911
311.0,0.30167
312.0,0.068532
313.0,0.15731
314.0,0.23297
315.0,0.36007
316.0,0.14731
317.0,0.22529
318.0,0.291
319.0,0.20282
320.0,0.23495
321.0,0.38026
322.0,0.074534
323.0,0.063036
324.0,0.09
325.0,0.16891
326.0,0.11748
327.0,0.071853
328.0,0.07
329.0,0.05979
330.0,0.1699
331.0,0.20141
332.0,0.13244
333.0,0.19939
334.0,0.14496
335.0,0.1
336.0,0.069573
337.0,0.067571
338.0,0.041537
339.0,0.12471
340.0,0.10348
341.0,0.11909
342.0,0.10025
343.0,0.080528
344.0,0.05
345.0,0.08
346.0,0.015811
347.0,0.13291
348.0,0.066938
349.0,0.08
350.0,0.099878
351.0,0.03
352.0,0.0
353.0,0.037696
354.0,0.11372
355.0,0.13862
356.0,0.15339
357.0,0.14577
358.0,0.037291
359.0,0.064798
360.0,0.18189
361.0,0.14
362.0,0.13743
363.0,0.19304
364.0,0.20036
365.0,0.19455
366.0,0.06052
367.0,0.10776
368.0,0.010566
369.0,0.07078
370.0,0.04
371.0,0.02
372.0,0.039485
373.0,0.035613
374.0,0.096864
375.0,0.086887
376.0,0.07
377.0,0.048456
378.0,0.030767
379.0,0.061226
380.0,0.068126
381.0,0.06364
382.0,0.027669
383.0,0.078201
384.0,0.16622
385.0,0.072896
386.0,0.053765
387.0,0.096673
388.0,0.10743
389.0,0.075694
390.0,0.024508
391.0,0.024826
392.0,0.040208
393.0,0.10304
394.0,0.13129
395.0,0.14917
396.0,0.24482
397.0,0.10186
398.0,0.08
399.0,0.099992
400.0,0.095998
401.0,0.26225
402.0,0.11504
403.0,0.12247
404.0,0.028729
405.0,0.037897
406.0,0.11
407.0,0.25899
408.0,0.16361
409.0,0.21048
410.0,0.26889
411.0,0.21115
412.0,0.24717
413.0,0.37386
414.0,0.35807
415.0,0.26414
416.0,0.3664
417.0,0.15782
418.0,0.45864
419.0,0.40301
420.0,0.044365
421.0,0.036509
422.0,0.089386
423.0,0.15613
424.0,0.21117
425.0,0.14558
426.0,0.19261
427.0,0.20983
428.0,0.31975
429.0,0.4346
430.0,0.45091
431.0,0.61503
432.0,0.43665
433.0,0.30762
434.0,0.25997
435.0,0.14941
436.0,0.14342
437.0,0.18493
438.0,0.13113
439.0,0.089896
440.0,0.28301
441.0,0.40606
