Time,PET
1.0,0.12201
2.0,0.21159
3.0,0.16082
4.0,0.21603
5.0,0.15776
6.0,0.14886
7.0,0.072084
8.0,0.022713
9.0,0.04
10.0,0.07454
11.0,0.1515
12.0,0.2
13.0,0.2355
14.0,0.2651
15.0,0.1
16.0,0.10223
17.0,0.08668
18.0,0.17878
19.0,0.13303
20.0,0.21291
21.0,0.16627
22.0,0.18092
23.0,0.25106
24.0,0.28638
25.0,0.13848
26.0,0.14014
27.0,0.24794
28.0,0.21579
29.0,0.27484
30.0,0.30213
31.0,0.08171
32.0,0.024025
33.0,0.026992
34.0,0.13482
35.0,0.25593
36.0,0.29605
37.0,0.31029
38.0,0.2968
39.0,0.21828
40.0,0.35705
41.0,0.52415
42.0,0.28239
43.0,0.12895
44.0,0.14852
45.0,0.15355
46.0,0.27896
47.0,0.31021
48.0,0.29585
49.0,0.35543
50.0,0.342
51.0,0.29674
52.0,0.46652
53.0,0.25156
54.0,0.14227
55.0,0.10387
56.0,0.12586
57.0,0.13132
58.0,0.2503
59.0,0.1278
60.0,0.20153
61.0,0.31523
62.0,0.47946
63.0,0.36327
64.0,0.40586
65.0,0.43901
66.0,0.44301
67.0,0.44026
68.0,0.28837
69.0,0.31949
70.0,0.34168
71.0,0.5165
72.0,0.4782
73.0,0.44673
74.0,0.52501
75.0,0.36409
76.0,0.32773
77.0,0.30146
78.0,0.084682
79.0,0.16388
80.0,0.31258
81.0,0.54488
82.0,0.62821
83.0,0.10356
84.0,0.23413
85.0,0.27235
86.0,0.11245
87.0,0.31211
88.0,0.43334
89.0,0.49634
90.0,0.28342
91.0,0.25048
92.0,0.32321
93.0,0.43571
94.0,0.51881
95.0,0.51586
96.0,0.57091
97.0,0.58856
98.0,0.43477
99.0,0.42053
100.0,0.49305
101.0,0.44258
102.0,0.21505
103.0,0.4132
104.0,0.4374
105.0,0.61265
106.0,0.31068
107.0,0.048214
108.0,0.14387
109.0,0.229
110.0,0.17035
111.0,0.32203
112.0,0.44442
113.0,0.61227
114.0,0.6617
115.0,0.61339
116.0,0.55232
117.0,0.33227
118.0,0.36579
119.0,0.19726
120.0,0.096985
121.0,0.13699
122.0,0.16662
123.0,0.38037
124.0,0.55584
125.0,0.53932
126.0,0.62514
127.0,0.70774
128.0,0.5253
129.0,0.49267
130.0,0.46864
131.0,0.41008
132.0,0.33187
133.0,0.46837
134.0,0.52119
135.0,0.35078
136.0,0.35346
137.0,0.19455
138.0,0.19452
139.0,0.33397
140.0,0.48081
141.0,0.62373
142.0,0.78725
143.0,0.72278
144.0,0.57946
145.0,0.60797
146.0,0.5549
147.0,0.47617
148.0,0.25907
149.0,0.49759
150.0,0.5763
151.0,0.58731
152.0,0.52035
153.0,0.5029
154.0,0.58321
155.0,0.6562
156.0,0.59158
157.0,0.63759
158.0,0.63691
159.0,0.62947
160.0,0.59409
161.0,0.65672
162.0,0.71589
163.0,0.81853
164.0,0.61984
165.0,0.4417
166.0,0.67633
167.0,0.88899
168.0,0.87261
169.0,0.74169
170.0,0.70505
171.0,0.80165
172.0,0.687
173.0,0.88899
174.0,0.72309
175.0,0.74446
176.0,0.76595
177.0,0.64655
178.0,0.74143
179.0,0.71027
180.0,0.70039
181.0,0.64268
182.0,0.53525
183.0,0.47563
184.0,0.4478
185.0,0.54524
186.0,0.72919
